DateTime,Entries,UniqueIPs
1579838640,179,179
1579840568,182,182
1579842521,181,181
1579844417,180,180
1579846337,173,173
1579848262,172,172
1579850196,175,175
1579852144,176,176
1579854050,182,182
1579855964,178,178
1579857873,176,176
1579859777,175,175
1579861723,174,174
1579863709,172,172
1579865567,172,172
1579867731,166,166
1579869620,163,163
1579871567,161,161
1579873463,161,161
1579875406,164,164
1579877306,162,162
1579879220,163,163
1579881161,161,161
1579883057,160,160
1579885004,159,159
1579888886,158,158
1579890754,159,159
1579892930,160,160
1579894822,163,163
1579896993,163,163
1579898915,161,161
1579900820,161,161
1579902738,161,161
1579904719,160,160
1579906620,157,157
1579908667,158,158
1579910532,161,161
1579912364,156,156
1579914299,156,156
1579916198,158,158
1579918107,157,157
1579920021,156,156
1579921951,154,154
1579923865,153,153
1579925779,154,154
1579927701,154,154
1579929630,152,152
1579931541,150,150
1579933469,150,150
1579935381,150,150
1579937301,149,149
1579940423,147,147
1579942332,145,145
1579944266,147,147
1579946177,148,148
1579948094,146,146
1579950136,148,148
1579951941,147,147
1579953937,144,144
1579955783,147,147
1579957702,150,150
1579959613,150,150
1579961551,151,151
1579963452,153,153
1579965385,154,154
1579967308,155,155
1579969210,153,153
1579971127,153,153
1579973053,158,158
1579974983,157,157
1579976891,159,159
1579979794,159,159
1579981702,162,162
1579983624,161,161
1579985533,162,162
1579987452,167,167
1579989390,170,170
1579991292,168,168
1579994177,170,170
1579996100,171,171
1579998264,176,176
1580000169,180,180
1580002091,180,180
1580005290,186,186
1580007126,189,189
1580009090,187,187
1580010974,188,188
1580012891,190,190
1580015780,195,195
1580017712,198,198
1580019681,197,197
1580021529,198,198
1580023467,197,197
1580025385,198,198
1580027291,196,196
1580029325,195,195
1580031136,192,192
1580033301,192,192
1580035214,192,192
1580037149,214,214
1580039068,627,627
1580040983,1103,1103
1580042909,1102,1102
1580044814,1102,1102
1580046728,1099,1099
1580048663,1095,1095
1580050571,1094,1094
1580052491,1095,1095
1580054561,1094,1094
1580056575,1093,1093
1580058510,1091,1091
1580060412,1092,1092
1580062334,1090,1090
1580064268,1093,1093
1580066175,1094,1094
1580068094,1096,1096
1580071928,1095,1095
1580073855,1094,1094
1580075785,1091,1091
1580080576,1085,1085
1580082499,1085,1085
1580084421,1083,1083
1580086328,1078,1078
1580088253,1083,1083
1580090192,1080,1080
1580092094,1076,1076
1580094222,1074,1074
1580096173,1075,1075
1580098103,1078,1078
1580100011,1078,1078
1580101937,1077,1077
1580103877,1075,1075
1580105773,1074,1074
1580107760,1077,1077
1580109622,1076,1076
1580111558,1074,1074
1580113456,1074,1074
1580115389,1074,1074
1580117310,1074,1074
1580119384,1073,1073
1580121368,1069,1069
1580123307,1074,1074
1580125213,711,711
1580127142,153,153
1580129077,151,151
1580130985,151,151
1580132896,149,149
1580134829,147,147
1580136748,149,149
1580138656,150,150
1580140590,149,149
1580144464,150,150
1580146366,150,150
1580148518,147,147
1580150417,150,150
1580152600,147,147
1580154498,148,148
1580156428,148,148
1580158333,148,148
1580160271,147,147
1580162174,147,147
1580164107,151,151
1580166089,150,150
1580167939,151,151
1580169754,149,149
1580171571,146,146
1580173715,144,144
1580175613,142,142
1580177535,144,144
1580179471,142,142
1580181376,150,150
1580183306,149,149
1580185223,153,153
1580187131,152,152
1580189062,154,154
1580190969,157,157
1580192891,160,160
1580194985,157,157
1580196988,158,158
1580198907,160,160
1580200811,164,164
1580202752,162,162
1580204650,166,166
1580206581,170,170
1580208507,169,169
1580210410,169,169
1580212334,170,170
1580214269,168,168
1580216172,169,169
1580218090,171,171
1580220142,170,170
1580222169,167,167
1580224127,165,165
1580226013,165,165
1580227931,168,168
1580229863,168,168
1580232165,169,169
1580234190,167,167
1580236101,162,162
1580238166,164,164
1580240179,164,164
1580242108,162,162
1580244019,164,164
1580245932,165,165
1580247868,169,169
1580249775,166,166
1580251696,165,165
1580253655,163,163
1580255535,163,163
1580257453,165,165
1580259404,168,168
1580261320,171,171
1580263308,171,171
1580265144,169,169
1580267324,166,166
1580269230,166,166
1580271158,161,161
1580273066,157,157
1580274983,158,158
1580276900,157,157
1580278829,158,158
1580280734,158,158
1580282679,155,155
1580284575,155,155
1580286507,152,152
1580288596,151,151
1580290575,146,146
1580292532,140,140
1580294415,142,142
1580296338,141,141
1580298266,138,138
1580300189,138,138
1580302103,141,141
1580304010,141,141
1580305931,141,141
1580307928,144,144
1580309770,146,146
1580311712,145,145
1580313932,144,144
1580315788,145,145
1580317703,145,145
1580319612,143,143
1580321550,142,142
1580323468,144,144
1580325373,145,145
1580327308,145,145
1580329213,148,148
1580331129,152,152
1580333067,159,159
1580334971,160,160
1580336922,162,162
1580338977,161,161
1580340991,161,161
1580343165,158,158
1580345055,156,156
1580346972,155,155
1580348906,156,156
1580350817,157,157
1580352729,157,157
1580354663,162,162
1580356575,163,163
1580358738,166,166
1580360689,165,165
1580362630,163,163
1580364503,161,161
1580366416,159,159
1580368347,155,155
1580370284,154,154
1580372177,152,152
1580374109,148,148
1580376024,147,147
1580377931,144,144
1580379866,144,144
1580381773,144,144
1580383696,146,146
1580385774,144,144
1580387772,141,141
1580389691,138,138
1580391626,137,137
1580393533,134,134
1580395472,131,131
1580397376,130,130
1580399309,129,129
1580401216,125,125
1580403129,125,125
1580405065,122,122
1580406973,121,121
1580408907,120,120
1580410972,117,117
1580412985,115,115
1580414902,110,110
1580416833,109,109
1580418732,108,108
1580420668,101,101
1580422840,101,101
1580424732,102,102
1580426662,101,101
1580428585,103,103
1580430520,106,106
1580433621,106,106
1580435530,108,108
1580437461,110,110
1580439375,110,110
1580441295,104,104
1580444174,101,101
1580446104,100,100
1580448012,102,102
1580449928,102,102
1580451738,106,106
1580453828,104,104
1580455697,104,104
1580457820,106,106
1580459776,109,109
1580461709,109,109
1580463617,108,108
1580465537,109,109
1580467479,105,105
1580469381,103,103
1580471297,103,103
1580473223,103,103
1580475133,101,101
1580478971,101,101
1580480888,104,104
1580482947,106,106
1580484983,106,106
1580487157,104,104
1580489059,105,105
1580492490,109,109
1580494347,109,109
1580498446,110,110
1580500330,111,111
1580502258,110,110
1580504185,109,109
1580506097,109,109
1580508097,106,106
1580509990,107,107
1580511899,105,105
1580513777,109,109
1580515738,105,105
1580517617,108,108
1580519533,107,107
1580521472,105,105
1580523403,107,107
1580525300,106,106
1580527215,105,105
1580529146,105,105
1580531068,106,106
1580532982,108,108
1580534896,110,110
1580537150,106,106
1580538988,107,107
1580541139,105,105
1580543058,101,101
1580544990,102,102
1580546894,100,100
1580548822,101,101
1580550733,103,103
1580552688,101,101
1580554574,102,102
1580556517,99,99
